"Γεωγραφικό επίπεδο";"Γεωγραφικός κωδικός";"Περιγραφή τόπου μόνιμης διαμονής ";"Σύνολο";"Κάτοχοι διδακτορικού ή μεταπτυχιακού τίτλου  / Πτυχιούχοι Παν/μίου - Πολυτεχνείου, ΑΤΕΙ, ΑΣΠΑΙΤΕ ανώτερων επαγγελματικών και ισότιμων σχολών";"Πτυχιούχοι μεταδευτεροβάθμιας εκπαίδευσης (ΙΕΚ, Κολλέγια κλπ.) / Απόφοιτοι Λυκείου (Γενικού, Εκκλησιαστικού, Επαγγελματικού κλπ.)";"Απόφοιτοι τριτάξιου Γυμνασίου και πτυχιούχοι Επαγγελματικών Σχολών";"Απόφοιτοι Δημοτικού / Άλλη περίπτωση(1)"
0;"000";"ΣΥΝΟΛΟ ΧΩΡΑΣ";3727633;1188077;1446956;526807;565793
1;"1";"ΒΟΡΕΙΑ ΕΛΛΑΔΑ";980022;295810;360907;149347;173958
2;"11";"ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ";790439;241631;294682;118781;135345
3;"111";"ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ";187306;47058;63958;27403;48887
4;"11101";"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΠΗΣ";35798;7497;8498;3575;16228
5;"1110101";"ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ";20631;6657;6876;2305;4793
5;"1110102";"ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ";6658;243;373;395;5647
5;"1110103";"ΔΗΜΟΣ ΙΑΣΜΟΥ";4505;250;542;356;3357
5;"1110104";"ΔΗΜΟΣ ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ";4004;347;707;519;2431
4;"11102";"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ";28020;7300;10244;5491;4985
5;"1110201";"ΔΗΜΟΣ ΔΡΑΜΑΣ";18021;5964;7031;2908;2118
5;"1110202";"ΔΗΜΟΣ ΔΟΞΑΤΟΥ";3810;651;1288;954;917
5;"1110203";"ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ";2150;139;554;543;914
5;"1110204";"ΔΗΜΟΣ ΠΑΡΑΝΕΣΤΙΟΥ";808;103;267;235;203
5;"1110205";"ΔΗΜΟΣ ΠΡΟΣΟΤΣΑΝΗΣ";3231;443;1104;851;833
4;"11103";"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΕΒΡΟΥ";48443;12637;19781;6721;9304
5;"1110301";"ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ";25044;8282;10807;3007;2948
5;"1110302";"ΔΗΜΟΣ ΔΙΔΥΜΟΤΕΙΧΟΥ";5334;1028;2056;776;1474
5;"1110303";"ΔΗΜΟΣ ΟΡΕΣΤΙΑΔΑΣ";12657;2512;5014;2048;3083
5;"1110304";"ΔΗΜΟΣ ΣΑΜΟΘΡΑΚΗΣ";937;192;330;138;277
5;"1110305";"ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ";4471;623;1574;752;1522
4;"11104";"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΑΣΟΥ";4478;705;1519;1043;1211
5;"1110401";"ΔΗΜΟΣ ΘΑΣΟΥ";4478;705;1519;1043;1211
4;"11105";"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ";38942;10758;14149;6776;7259
5;"1110501";"ΔΗΜΟΣ ΚΑΒΑΛΑΣ";22033;7920;8638;3238;2237
5;"1110502";"ΔΗΜΟΣ ΝΕΣΤΟΥ";7060;1242;2361;1398;2059
5;"1110503";"ΔΗΜΟΣ ΠΑΓΓΑΙΟΥ";9849;1596;3150;2140;2963
4;"11106";"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΞΑΝΘΗΣ";31625;8161;9767;3797;9900
5;"1110601";"ΔΗΜΟΣ ΞΑΝΘΗΣ";19989;7291;7480;2182;3036
5;"1110602";"ΔΗΜΟΣ ΑΒΔΗΡΩΝ";5014;524;1419;749;2322
5;"1110603";"ΔΗΜΟΣ ΜΥΚΗΣ";3616;188;268;451;2709
5;"1110604";"ΔΗΜΟΣ ΤΟΠΕΙΡΟΥ";3006;158;600;415;1833
3;"112";"ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ";603133;194573;230724;91378;86458
4;"11207";"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ";369392;140712;149111;47157;32412
5;"1120701";"ΔΗΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ";103243;49044;39344;9141;5714
5;"1120702";"ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ";15498;3983;6889;2747;1879
