"Επίπεδο διοικητικής διαίρεσης";"Γεωγραφικός κωδικός";"Περιγραφή";"Σύνολο";"Σύνολο οικονομικών ενεργών";"Σύνολο απασχολούμενων";"Πρωτογενής Τομέας";"Δευτερογενής Τομέας";"Τριτογενής Τομέας";"Ανεργοι";"Οικονομικά μη ενεργοί"
0;0;"ΣΥΝΟΛΟ ΧΩΡΑΣ";10816286;4586636;3727633;372209;654377;2701047;859003;6229650
1;11;"ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ";608182;234579;187306;38787;30892;117627;47273;373603
1;12;"ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ";1882108;771613;603133;69563;112559;421011;168480;1110495
1;21;"ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ";283689;108094;83530;11792;21697;50041;24564;175595
1;22;"ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ";336856;129712;106053;16002;18861;71190;23659;207144
1;31;"ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ";732762;283427;230405;41954;40351;148100;53022;449335
1;32;"ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ";547390;217278;175972;30495;42463;103014;41306;330112
1;41;"ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ";207855;88693;73350;6898;10574;55878;15343;119162
1;42;"ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ";679796;261175;206343;40248;33679;132416;54832;418621
1;43;"ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ";577903;233986;196761;50439;33740;112582;37225;343917
1;51;"ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ";3828434;1771562;1452203;17528;246561;1188114;319359;2056872
1;61;"ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ";199231;76628;65909;9000;9660;47249;10719;122603
1;62;"ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ";309015;140016;120950;6245;20600;94105;19066;168999
1;71;"ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ";623065;269873;225718;33258;32740;159720;44155;353192
2;1101;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΠΗΣ";112039;43013;35798;13180;4890;17728;7215;69026
2;1102;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ";98287;36720;28020;4558;5471;17991;8700;61567
2;1103;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΕΒΡΟΥ";147947;57337;48443;8312;5578;34553;8894;90610
2;1104;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΑΣΟΥ";13770;5468;4478;648;854;2976;990;8302
2;1105;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ";124917;48782;38942;6436;7314;25192;9840;76135
2;1106;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΞΑΝΘΗΣ";111222;43259;31625;5653;6785;19187;11634;67963
2;1207;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ";1110551;476191;369392;12472;71147;285773;106799;634360
2;1208;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΜΑΘΙΑΣ";140611;55776;43103;10880;7741;24482;12673;84835
2;1209;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΙΛΚΙΣ";80419;29573;22986;4143;5885;12958;6587;50846
2;1210;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΕΛΛΑΣ";139680;54582;43803;14363;7049;22391;10779;85098
2;1211;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΙΕΡΙΑΣ";126698;49451;39424;7842;6582;25000;10027;77247
2;1212;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΣΕΡΡΩΝ";176430;63057;49976;14151;7239;28586;13081;113373
2;2114;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΟΖΑΝΗΣ";150196;56353;43496;3833;13372;26291;12857;93843
2;2115;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΓΡΕΒΕΝΩΝ";31757;10835;8673;1892;1432;5349;2162;20922
2;2116;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΣΤΟΡΙΑΣ";50322;21266;16007;3027;3444;9536;5259;29056
2;2117;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΦΛΩΡΙΝΑΣ";51414;19640;15354;3040;3449;8865;4286;31774
2;2218;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΙΩΑΝΝΙΝΩΝ";167901;66362;54654;5046;10506;39102;11708;101539
2;2219;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΤΑΣ";67877;24141;19438;4268;3422;11748;4703;43736
2;2220;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΠΡΩΤΙΑΣ";43587;17239;13983;2864;2136;8983;3256;26348
2;2221;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΡΕΒΕΖΑΣ";57491;21970;17978;3824;2797;11357;3992;35521
