DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL01,2016,848059,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL01,2017,826904,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL01,2018,819793,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL01,2019,813758,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL01,2020,804689,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL01,2021,797955,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL02,2016,1110562,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL02,2017,1146183,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL02,2018,1162544,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL02,2019,1170142,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL02,2020,1176240,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL02,2021,1178435,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL03,2016,927405,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL03,2017,903504,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL03,2018,887987,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL03,2019,878527,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL03,2020,865026,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AL03,2021,853351,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,ALXX,2018,0,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,ALXX,2019,0,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AT11,2010,283697,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AT11,2011,284581,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AT11,2012,285782,
ESTAT:TGS00096(1.0),17/11/22 09:58:00,A,NR,TOTAL,T,AT11,2013,286691,
