Επίπεδο διοικητικής διαίρεσης,DHMOSID,Περιγραφή,Σύνολο,Σύνολο οικονομικών ενεργών,Σύνολο απασχολούμενων,Πρωτογενής Τομέας,Δευτερογενής Τομέας,Τριτογενής Τομέας,Ανεργοι,Οικονομικά μη ενεργοί,A_pct,B_pct,C_pct,unempl_pct
3,110101,ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ,66919,25386,20631,2879,3187,14565,4755,41533,13.954728321458001,15.447627356890116,70.59764432165188,18.73079650200898
3,110102,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ,16577,7232,6658,5532,368,758,574,9345,83.08801441874436,5.527185340943226,11.384800240312407,7.936946902654867
3,110103,ΔΗΜΟΣ ΙΑΣΜΟΥ,13810,5377,4505,2695,661,1149,872,8433,59.822419533851274,14.672586015538291,25.504994450610432,16.217221498977125
3,110104,ΔΗΜΟΣ ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,14733,5018,4004,2074,674,1256,1014,9715,51.798201798201795,16.833166833166832,31.36863136863137,20.207253886010363
3,110201,ΔΗΜΟΣ ΔΡΑΜΑΣ,58944,23530,18021,1308,3527,13186,5509,35414,7.258198768103878,19.571610898396315,73.1701903334998,23.412664683382914
3,110202,ΔΗΜΟΣ ΔΟΞΑΤΟΥ,14516,5192,3810,890,803,2117,1382,9324,23.35958005249344,21.076115485564305,55.56430446194226,26.61787365177196
3,110203,ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,7860,2687,2150,1111,288,751,537,5173,51.674418604651166,13.395348837209303,34.93023255813954,19.985113509490137
3,110204,ΔΗΜΟΣ ΠΑΡΑΝΕΣΤΙΟΥ,3901,1088,808,271,147,390,280,2813,33.539603960396036,18.193069306930692,48.26732673267327,25.735294117647058
3,110205,ΔΗΜΟΣ ΠΡΟΣΟΤΣΑΝΗΣ,13066,4223,3231,978,706,1547,992,8843,30.269266480965644,21.850820179510986,47.87991333952337,23.490409661378166
3,110301,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,72959,30219,25044,1897,3198,19949,5175,42740,7.574668583293404,12.769525634882607,79.65580578182399,17.124987590588702
3,110302,ΔΗΜΟΣ ΔΙΔΥΜΟΤΕΙΧΟΥ,19493,6308,5334,1265,514,3555,974,13185,23.71578552680915,9.636295463067116,66.64791901012373,15.440710209258086
3,110303,ΔΗΜΟΣ ΟΡΕΣΤΙΑΔΑΣ,37695,14599,12657,3348,1251,8058,1942,23096,26.451765821284663,9.883858734297227,63.664375444418106,13.302280978149188
3,110305,ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ,14941,5127,4471,1598,502,2371,656,9814,35.741444866920155,11.227913218519348,53.0306419145605,12.795006826604252
3,110401,ΔΗΜΟΣ ΘΑΣΟΥ,13770,5468,4478,648,854,2976,990,8302,14.47074586869138,19.071013845466727,66.4582402858419,18.105340160936358
3,110501,ΔΗΜΟΣ ΚΑΒΑΛΑΣ,70501,28020,22033,1185,4084,16764,5987,42481,5.378296192075523,18.53583261471429,76.08587119321018,21.36688079942898
3,110502,ΔΗΜΟΣ ΝΕΣΤΟΥ,22331,8672,7060,2078,1362,3620,1612,13659,29.43342776203966,19.291784702549574,51.274787535410766,18.588560885608857
3,110503,ΔΗΜΟΣ ΠΑΓΓΑΙΟΥ,32085,12090,9849,3173,1868,4808,2241,19995,32.216468677023045,18.966392527160117,48.81713879581683,18.535980148883375
3,110601,ΔΗΜΟΣ ΞΑΝΘΗΣ,65133,26796,19989,830,3801,15358,6807,38337,4.152283756065836,19.015458502176198,76.83225774175797,25.403045230631438
